id,term_fr,term_ca
translate_term_fr_ca_1,L'avoir,La note de crédit
translate_term_fr_ca_2,d'avoirs,de notes de crédit
translate_term_fr_ca_3,d'avoir,de note de crédit
translate_term_fr_ca_4,les avoirs,les notes de crédit
translate_term_fr_ca_5,un avoir,une note de crédit
translate_term_fr_ca_6,aux avoirs,aux notes de crédit
translate_term_fr_ca_7,le même avoir,la même note de crédit
translate_term_fr_ca_8,le prochain avoir,la prochaine note de crédit
translate_term_fr_ca_9,avoir,note de crédit
translate_term_fr_ca_10,Avoir,Note de crédit
translate_term_fr_ca_11,Remboursements,Notes de crédit
translate_term_fr_ca_12,Note de crédits,Notes de crédit
translate_term_fr_ca_13,note de crédits,notes de crédit
translate_term_fr_ca_14,Balance agée des clients,Âge des comptes clients
translate_term_fr_ca_15,Balance agée des fournisseurs,Âge des comptes fournisseurs
translate_term_fr_ca_16,Balances agées des tiers,Âge des comptes
translate_term_fr_ca_17,Balance agée,Âge des comptes
translate_term_fr_ca_18,balance agée,âge des comptes
translate_term_fr_ca_19,Modèles de lettrage,Modèles de conciliation bancaire
translate_term_fr_ca_20,de lettrage,de conciliation
translate_term_fr_ca_21,du lettrage,de la conciliation
translate_term_fr_ca_22,le lettrage,la conciliation
translate_term_fr_ca_23,Non lettré,Non réconcilié
translate_term_fr_ca_24,Lettrer,Réconcilier
translate_term_fr_ca_25,lettrer,réconcilier
translate_term_fr_ca_26,Lettrage,Conciliation
translate_term_fr_ca_27,annuler le lettrage l'entrée,annuler la conciliation
translate_term_fr_ca_28,Payments Sortants,Paiements sortants
translate_term_fr_ca_29,Configuration des Payements,Configuration des paiements
translate_term_fr_ca_30,Compte de Payements Sortants,Compte de paiement sortant
translate_term_fr_ca_31,Compte de Payements Entrants,Compte de paiement entrant
